"SampleID","S.stat","ind.station","BQI2009","sensitivitylistname","HELCOM_subbasin","STATN","Lat","Lon","WADEP","MYEAR","Date"
"2295914",5,44,1.55122069668315,"EIG11","Gulf of Riga","V15",58.8167,23.2167,7.6,2018,"2018-05-31T00:00:00"
"2295915",8,93,1.97877068289753,"EIG11","Gulf of Riga","V15",58.8167,23.2167,7.6,2018,"2018-05-31T00:00:00"
"2295916",4,125,1.49203212464035,"EIG11","Gulf of Riga","23A",59.1833,23.3667,26,2018,"2018-05-31T00:00:00"
"2295917",6,70,1.7540479319407,"EIG11","Gulf of Riga","23A",59.1833,23.3667,26,2018,"2018-05-31T00:00:00"
"2295918",5,130,1.67379938383175,"EIG11","Gulf of Riga","23A",59.1833,23.3667,26,2018,"2018-05-31T00:00:00"
"2295919",5,97,1.00666634408966,"EIG11","Gulf of Riga","107",57.9023,23.8617,27,2018,"2018-05-31T00:00:00"
"2295920",4,80,0.956898995367771,"EIG11","Gulf of Riga","107",57.9023,23.8617,27,2018,"2018-05-31T00:00:00"
"2295921",5,62,1.0414160782653,"EIG11","Gulf of Riga","107",57.9023,23.8617,27,2018,"2018-05-31T00:00:00"
"2295922",4,24,0.916962948217061,"EIG11","Gulf of Riga","125",58.2,23.4,26,2018,"2018-05-31T00:00:00"
"2295923",3,24,0.905972756999681,"EIG11","Gulf of Riga","125",58.2,23.4,26,2018,"2018-05-31T00:00:00"
"2295924",3,15,0.912941877759128,"EIG11","Gulf of Riga","125",58.2,23.4,26,2018,"2018-05-31T00:00:00"
"2295931",5,61,1.48016974236,"EIG11","Gulf of Riga","114",57.8333,22.2833,27,2018,"2018-05-30T00:00:00"
"2295932",7,232,1.81408746314862,"EIG11","Gulf of Riga","114",57.8333,22.2833,27,2018,"2018-05-30T00:00:00"
"2295933",6,61,1.64915190204252,"EIG11","Gulf of Riga","114",57.8333,22.2833,27,2018,"2018-05-30T00:00:00"
"2295937",3,125,0.605088103710381,"EIG11","Gulf of Riga","G1",57.6717,23.5783,54,2018,"2018-05-30T00:00:00"
"2295938",3,127,0.606083326836199,"EIG11","Gulf of Riga","G1",57.6717,23.5783,54,2018,"2018-05-30T00:00:00"
"2295939",3,104,0.589020395323989,"EIG11","Gulf of Riga","G1",57.6717,23.5783,54,2018,"2018-05-30T00:00:00"
"2295940",5,130,1.05868295491384,"EIG11","Gulf of Riga","111",57.8133,22.8883,36.5,2018,"2018-05-30T00:00:00"
"2295941",6,35,1.3984508375383,"EIG11","Gulf of Riga","111",57.8133,22.8883,36.5,2018,"2018-05-30T00:00:00"
"2295942",5,109,1.3174909274208,"EIG11","Gulf of Riga","111",57.8133,22.8883,36.5,2018,"2018-05-30T00:00:00"
"2295943",4,27,1.27035939325294,"EIG11","Gulf of Finland","2",59.53833,24.68667,44,2018,"2018-05-28T00:00:00"
"2295944",4,61,1.43797929437496,"EIG11","Gulf of Finland","2",59.53833,24.68667,44,2018,"2018-05-28T00:00:00"
"2295945",4,42,1.36011080465486,"EIG11","Gulf of Finland","2",59.53833,24.68667,44,2018,"2018-05-28T00:00:00"
"2295952",3,40,1.1781850907218,"EIG11","Gulf of Finland","T36",59.5088,24.5012,35,2018,"2018-05-28T00:00:00"
"2295953",5,321,1.43158804108138,"EIG11","Gulf of Finland","T36",59.5088,24.5012,35,2018,"2018-05-28T00:00:00"
"2295954",4,64,1.4317857389633,"EIG11","Gulf of Finland","T36",59.5088,24.5012,35,2018,"2018-05-28T00:00:00"
"2295955",4,60,1.32159097742918,"EIG11","Gulf of Finland","AT21",59.4022,23.9334,55,2018,"2018-05-28T00:00:00"
"2295956",4,69,1.35412916499585,"EIG11","Gulf of Finland","AT22",59.41072,23.93131,60,2018,"2018-05-28T00:00:00"
"2295957",3,57,1.22234421500339,"EIG11","Gulf of Finland","AT23",59.4233,23.93102,65,2018,"2018-05-28T00:00:00"
"2295958",2,3,0.393625035143721,"EIG11","Gulf of Finland","AT24",59.43943,23.93185,70,2018,"2018-05-28T00:00:00"
"2329004",4,91.8181818181818,0.740960853629164,"EIG11","Gulf of Finland","AMN",59.6905,23.25717,57,2018,"2018-06-09T00:00:00"
"2329005",4,71.8181818181818,0.693787874859752,"EIG11","Gulf of Finland","AMN",59.6905,23.25717,57,2018,"2018-06-09T00:00:00"
"2329006",3,82.7272727272727,0.579100605130171,"EIG11","Gulf of Finland","AMN",59.6905,23.25717,57,2018,"2018-06-09T00:00:00"
"2329007",3,8.18181818181818,0.437967502657058,"EIG11","Gulf of Finland","UUS-23 Längden",59.7727,23.25987,59,2018,"2018-06-09T00:00:00"
"2329008",3,7.27272727272727,0.395129742456722,"EIG11","Gulf of Finland","UUS-23 Längden",59.7727,23.25987,59,2018,"2018-06-09T00:00:00"
"2329026",2,7.27272727272727,0.317020567024842,"EIG11","Gulf of Finland","UUS-23 Längden",59.7727,23.25987,59,2018,"2018-06-09T00:00:00"
"2364622",6,112,1.79594168093286,"EIG11","Gulf of Riga","KS7",58.6576,22.66772,6.2,2019,"2019-05-07T00:00:00"
"2364623",7,127,1.92891811312507,"EIG11","Gulf of Riga","KS7",58.6576,22.66772,6.2,2019,"2019-05-07T00:00:00"
"2364624",7,170,1.94757806337577,"EIG11","Gulf of Riga","KS7",58.6576,22.66772,6.2,2019,"2019-05-07T00:00:00"
"2364625",5,104,1.64825285035391,"EIG11","Gulf of Riga","KS8",58.70129,22.91979,7.8,2019,"2019-05-07T00:00:00"
"2364626",5,30,1.48071066501573,"EIG11","Gulf of Riga","KS8",58.70129,22.91979,7.8,2019,"2019-05-07T00:00:00"
"2364627",4,45,1.39654206866337,"EIG11","Gulf of Riga","KS8",58.70129,22.91979,7.8,2019,"2019-05-07T00:00:00"
"2364637",3,11,0.852273256771524,"EIG11","Gulf of Finland","AT11",59.7946,26.4489,50,2019,"2019-06-01T00:00:00"
"2364638",5,121,1.59341934993562,"EIG11","Gulf of Finland","AT12",59.7986,26.4511,55,2019,"2019-06-01T00:00:00"
"2364639",3,39,1.13132545643173,"EIG11","Gulf of Finland","AT13",59.79985,26.43354,60,2019,"2019-06-01T00:00:00"
"2364649",4,81,1.43174089767242,"EIG11","Gulf of Finland","18A",59.55,25.3333,43,2019,"2019-05-31T00:00:00"
"2364650",4,39,1.35728520429304,"EIG11","Gulf of Finland","18A",59.55,25.3333,43,2019,"2019-05-31T00:00:00"
"2364651",5,105,1.59632432602842,"EIG11","Gulf of Finland","18A",59.55,25.3333,43,2019,"2019-05-31T00:00:00"
"2364652",5,10,0.895738550441617,"EIG11","Gulf of Finland","N37",59.6408,26.4858,34,2019,"2019-05-31T00:00:00"
"2364653",2,5,0.272754317281407,"EIG11","Gulf of Finland","N37",59.6408,26.4858,34,2019,"2019-05-31T00:00:00"
"2364654",2,5,0.416526855370265,"EIG11","Gulf of Finland","N37",59.6408,26.4858,34,2019,"2019-05-31T00:00:00"
"2364658",7,102,1.863244129363,"EIG11","Gulf of Finland","3",59.5298,24.9701,36,2019,"2019-05-31T00:00:00"
"2364659",4,29,0.959339267799944,"EIG11","Gulf of Finland","3",59.5298,24.9701,36,2019,"2019-05-31T00:00:00"
"2364660",4,65,1.44520369467952,"EIG11","Gulf of Finland","3",59.5298,24.9701,36,2019,"2019-05-31T00:00:00"
"2364679",4,28,0.839710916439043,"EIG11","Gulf of Riga","111",57.8133,22.8883,38,2019,"2019-05-29T00:00:00"
"2364680",4,26,0.871532921535535,"EIG11","Gulf of Riga","111",57.8133,22.8883,38,2019,"2019-05-29T00:00:00"
"2364681",6,199,1.12811478050221,"EIG11","Gulf of Riga","111",57.8133,22.8883,38,2019,"2019-05-29T00:00:00"
"2364682",4,47,1.34848370929362,"EIG11","Gulf of Riga","114",57.8333,22.2833,28,2019,"2019-05-29T00:00:00"
"2364683",6,55,1.62201412131106,"EIG11","Gulf of Riga","114",57.8333,22.2833,28,2019,"2019-05-29T00:00:00"
"2364684",5,48,1.49941604057629,"EIG11","Gulf of Riga","114",57.8333,22.2833,28,2019,"2019-05-29T00:00:00"
"2364685",6,89,1.77632415687252,"EIG11","Gulf of Riga","V15",58.8167,23.2167,7,2019,"2019-05-28T00:00:00"
"2364686",7,106,1.91455077242292,"EIG11","Gulf of Riga","V15",58.8167,23.2167,7,2019,"2019-05-28T00:00:00"
"2364687",6,172,1.82311997513584,"EIG11","Gulf of Riga","V15",58.8167,23.2167,7,2019,"2019-05-28T00:00:00"
"2364688",3,73,0.58390145032456,"EIG11","Gulf of Riga","G1",57.6717,23.5783,54,2019,"2019-05-29T00:00:00"
"2364689",2,46,0.438219052791247,"EIG11","Gulf of Riga","G1",57.6717,23.5783,54,2019,"2019-05-29T00:00:00"
"2364690",2,21,0.400431520176086,"EIG11","Gulf of Riga","G1",57.6717,23.5783,54,2019,"2019-05-29T00:00:00"
"2364691",5,52,1.29716696475436,"EIG11","Gulf of Riga","125",58.2,23.4,27,2019,"2019-05-28T00:00:00"
"2364692",4,327,1.26049568203153,"EIG11","Gulf of Riga","125",58.2,23.4,27,2019,"2019-05-28T00:00:00"
"2364693",5,62,1.42802433891468,"EIG11","Gulf of Riga","125",58.2,23.4,27,2019,"2019-05-28T00:00:00"
"2364694",4,201,1.51405046279038,"EIG11","Gulf of Riga","V35",58.58333,23.46667,10.5,2019,"2019-05-28T00:00:00"
"2364695",5,50,1.57045070531972,"EIG11","Gulf of Riga","V35",58.58333,23.46667,10.5,2019,"2019-05-28T00:00:00"
"2364696",4,236,1.51952018535986,"EIG11","Gulf of Riga","V35",58.58333,23.46667,10.5,2019,"2019-05-28T00:00:00"
"2364697",6,173,1.82439844243514,"EIG11","Gulf of Finland","2",59.53833,24.68667,46,2019,"2019-05-27T00:00:00"
"2364698",3,148,1.29908215743189,"EIG11","Gulf of Finland","2",59.53833,24.68667,46,2019,"2019-05-27T00:00:00"
"2364699",5,93,1.64369714950027,"EIG11","Gulf of Finland","2",59.53833,24.68667,46,2019,"2019-05-27T00:00:00"
"2364700",5,81,1.10115516218189,"EIG11","Gulf of Riga","107",57.9023,23.8617,28,2019,"2019-05-28T00:00:00"
"2364701",5,144,1.10229389651661,"EIG11","Gulf of Riga","107",57.9023,23.8617,28,2019,"2019-05-28T00:00:00"
"2364702",4,90,0.972966246035738,"EIG11","Gulf of Riga","107",57.9023,23.8617,28,2019,"2019-05-28T00:00:00"
"2364706",5,72,1.51159476450484,"EIG11","Gulf of Finland","T36",59.5088,24.5012,36,2019,"2019-05-27T00:00:00"
"2364707",3,17,0.98109976015401,"EIG11","Gulf of Finland","T36",59.5088,24.5012,36,2019,"2019-05-27T00:00:00"
"2364708",3,71,1.19734203217498,"EIG11","Gulf of Finland","T36",59.5088,24.5012,36,2019,"2019-05-27T00:00:00"
"2364709",3,71,1.25805657735661,"EIG11","Gulf of Finland","AT21",59.4022,23.9334,55,2019,"2019-05-27T00:00:00"
"2364710",3,59,1.23014383114961,"EIG11","Gulf of Finland","AT22",59.4107,23.9313,60,2019,"2019-05-27T00:00:00"
"2364711",3,54,1.22918913852323,"EIG11","Gulf of Finland","AT23",59.4233,23.931,65,2019,"2019-05-27T00:00:00"
"2364715",5,102,1.32811581792476,"EIG11","Gulf of Finland","PW",59.3347,24.0333,24,2019,"2019-05-27T00:00:00"
"2364716",4,45,1.07470020279587,"EIG11","Gulf of Finland","PW",59.3347,24.0333,24,2019,"2019-05-27T00:00:00"
"2364717",5,82,1.38676462498584,"EIG11","Gulf of Finland","PW",59.3347,24.0333,24,2019,"2019-05-27T00:00:00"
"2364718",5,141,1.60785692460631,"EIG11","Gulf of Finland","PE",59.38,24.155,19,2019,"2019-05-27T00:00:00"
"2364719",5,62,1.48966604107958,"EIG11","Gulf of Finland","PE",59.38,24.155,19,2019,"2019-05-27T00:00:00"
"2364720",4,100,1.40854584893154,"EIG11","Gulf of Finland","PE",59.38,24.155,19,2019,"2019-05-27T00:00:00"
"2364721",5,295,1.69870417958749,"EIG11","Gulf of Riga","V5",58.95,23.1167,9,2019,"2019-05-27T00:00:00"
"2364722",6,119,1.79914607896015,"EIG11","Gulf of Riga","V5",58.95,23.1167,9,2019,"2019-05-27T00:00:00"
"2364723",7,253,1.96439573914682,"EIG11","Gulf of Riga","V5",58.95,23.1167,9,2019,"2019-05-27T00:00:00"
"2364724",4,69,1.45946826013481,"EIG11","Gulf of Riga","23A",59.1833,23.3667,26,2019,"2019-05-27T00:00:00"
"2364725",4,43,1.39007659612326,"EIG11","Gulf of Riga","23A",59.1833,23.3667,26,2019,"2019-05-27T00:00:00"
"2364726",3,52,1.22918240399867,"EIG11","Gulf of Riga","23A",59.1833,23.3667,26,2019,"2019-05-27T00:00:00"
