Number;WoRMS_AphiaID;WoRMS_Name;WoRMS_acc_AphiaID;WoRMS_accName;BQI_treatment;EIG1;EIG2;EIG3;EIG4;EIG5;EIG6;EIG7;EIG8;EIG9;EIG10;EIG11;EIG12;EIG13;EIG14;EIG15;EIG16;EIG17;EIG18;EIG19;ES_SWE
136;102870;Arrhis phyllonyx;102870;Arrhis phyllonyx;102870;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
137;131482;Artacama proboscidea;131482;Artacama proboscidea;131482;11.18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
138;0;Arthroplea congener;0;Arthroplea congener;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
139;879714;Asbjornsenia pygmaea;879714;Asbjornsenia pygmaea;879714;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
140;1839;Ascidiacea;1839;Ascidiacea;delete;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
141;106488;Ascidicola rosea;106488;Ascidicola rosea;delete;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
142;103718;Ascidiella aspersa;103718;Ascidiella aspersa;delete;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
143;264152;Asellus (Asellus) aquaticus;264152;Asellus (Asellus) aquaticus;264152;NA;NA;NA;NA;NA;NA;NA;4.1;NA;NA;NA;NA;3.66;NA;NA;NA;NA;NA;1;5
144;148667;Asellus aquaticus;264152;Asellus (Asellus) aquaticus;148667;NA;NA;NA;NA;NA;NA;NA;4.1;NA;NA;NA;NA;3.66;NA;NA;NA;NA;NA;1;5
145;295579;Astacilla dilatata;295579;Astacilla dilatata;295579;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
